iter	Passed	Remaining
441	1328	1676
442	1332	1675
443	1337	1674
444	1341	1673
445	1345	1671
446	1349	1669
447	1354	1668
448	1358	1666
449	1362	1665
450	1366	1663
451	1370	1662
452	1375	1660
453	1379	1658
454	1383	1657
455	1387	1655
456	1392	1654
457	1396	1652
458	1401	1651
459	1405	1649
460	1409	1647
461	1413	1646
462	1418	1644
463	1422	1643
464	1427	1641
465	1431	1640
466	1435	1638
467	1439	1636
468	1444	1635
469	1448	1633
470	1452	1630
471	1456	1629
472	1461	1628
473	1465	1626
474	1469	1624
475	1473	1622
476	1477	1620
477	1481	1617
478	1485	1615
479	1490	1615
480	1495	1613
481	1498	1610
482	1503	1608
483	1507	1606
484	1511	1604
485	1515	1603
486	1519	1601
487	1523	1598
488	1527	1596
489	1533	1596
490	1537	1594
491	1542	1592
492	1547	1591
493	1552	1590
494	1556	1588
495	1561	1586
496	1565	1584
497	1569	1582
498	1575	1581
499	1579	1579
500	1583	1577
501	1587	1575
502	1593	1574
503	1597	1571
504	1600	1569
505	1605	1567
506	1609	1565
507	1613	1562
508	1617	1560
509	1622	1558
510	1626	1556
511	1630	1553
512	1634	1551
513	1638	1549
514	1642	1546
515	1646	1544
516	1650	1542
517	1654	1539
518	1659	1537
519	1662	1534
520	1666	1532
521	1670	1530
522	1674	1527
523	1678	1524
524	1682	1522
525	1687	1520
526	1690	1517
527	1695	1515
528	1699	1513
529	1704	1511
530	1708	1508
531	1712	1506
532	1717	1504
533	1721	1502
534	1725	1499
535	1729	1497
536	1733	1494
537	1738	1492
538	1743	1491
539	1747	1488
540	1751	1486
541	1756	1484
542	1760	1481
543	1764	1479
544	1768	1476
545	1772	1474
546	1777	1471
547	1781	1469
548	1785	1466
549	1789	1464
550	1793	1461
551	1797	1458
552	1801	1456
553	1806	1454
554	1810	1451
555	1814	1449
556	1819	1447
557	1823	1444
558	1829	1443
559	1834	1441
560	1838	1438
561	1845	1437
562	1853	1438
563	1860	1437
564	1864	1435
565	1868	1432
566	1872	1429
567	1876	1426
568	1880	1424
569	1884	1422
570	1891	1420
571	1896	1418
572	1901	1417
573	1905	1414
574	1910	1411
575	1913	1408
576	1918	1406
577	1922	1403
578	1926	1400
579	1929	1397
580	1934	1394
581	1937	1391
582	1942	1389
583	1945	1386
584	1949	1383
585	1953	1380
586	1957	1377
587	1961	1374
588	1965	1371
589	1969	1368
590	1973	1365
591	1977	1362
592	1981	1360
593	1986	1357
594	1990	1354
595	1995	1352
596	2000	1350
597	2004	1347
598	2009	1345
599	2013	1342
600	2017	1339
601	2021	1336
602	2026	1334
603	2031	1331
604	2036	1329
605	2039	1326
606	2043	1323
607	2046	1319
608	2051	1316
609	2055	1313
610	2058	1310
611	2061	1307
612	2066	1304
613	2069	1301
614	2073	1298
615	2077	1295
616	2082	1292
617	2086	1289
618	2090	1286
619	2094	1283
620	2098	1280
621	2102	1277
622	2105	1274
623	2109	1271
624	2114	1268
625	2118	1265
626	2122	1262
627	2125	1259
628	2130	1256
629	2134	1253
630	2138	1250
631	2142	1247
632	2146	1244
633	2150	1241
634	2155	1238
635	2158	1235
636	2162	1232
637	2167	1229
638	2171	1226
639	2176	1224
640	2179	1220
641	2183	1217
642	2187	1214
643	2190	1211
644	2195	1208
645	2200	1205
646	2204	1202
647	2208	1199
648	2211	1196
649	2215	1193
650	2219	1189
651	2223	1186
652	2227	1183
653	2231	1180
654	2234	1177
655	2238	1173
656	2241	1170
657	2245	1167
658	2248	1163
659	2252	1160
660	2255	1156
661	2260	1154
662	2263	1150
663	2267	1147
664	2270	1143
665	2275	1140
666	2278	1137
667	2282	1134
668	2286	1131
669	2290	1128
670	2294	1124
671	2298	1121
672	2301	1118
673	2305	1115
674	2308	1111
675	2312	1108
676	2316	1105
677	2320	1101
678	2324	1098
